S,I,R,V,-2,-1,1,2,days,w,b
0.006180,0.000000,0.583750,0.410070,0.008100,0.004510,0.005980,0.981410,133,0.000000,0.100000
0.003470,0.000000,0.858670,0.137860,0.010210,0.004590,0.051520,0.933680,62,0.000000,0.200000
0.005600,0.000000,0.960700,0.033700,0.011430,0.019670,0.293170,0.675730,37,0.000000,0.400000
0.006190,0.000000,0.978180,0.015630,0.019860,0.117590,0.419580,0.442970,30,0.000000,0.600000
0.007940,0.000000,0.980310,0.011750,0.038420,0.264200,0.411810,0.285570,24,0.000000,0.800000
0.006950,0.000000,0.517840,0.475210,0.007780,0.004680,0.004910,0.982630,174,0.100000,0.100000
0.002650,0.000000,0.839390,0.157960,0.009590,0.004710,0.024130,0.961570,70,0.100000,0.200000
0.004520,0.000000,0.955120,0.040360,0.011070,0.014920,0.274610,0.699400,38,0.100000,0.400000
0.005370,0.000000,0.976640,0.017990,0.014350,0.065090,0.393420,0.527140,31,0.100000,0.600000
0.007110,0.000000,0.980020,0.012870,0.027890,0.195860,0.425280,0.350970,26,0.100000,0.800000
0.007970,0.000000,0.427460,0.564570,0.007110,0.004800,0.006160,0.981930,164,0.200000,0.100000
0.002830,0.000000,0.803990,0.193180,0.009530,0.004580,0.037090,0.948800,71,0.200000,0.200000
0.003060,0.000000,0.946730,0.050210,0.010360,0.006310,0.174300,0.809030,43,0.200000,0.400000
0.005200,0.000000,0.973940,0.020860,0.014170,0.055160,0.382810,0.547860,31,0.200000,0.600000
0.006950,0.000000,0.979820,0.013230,0.025470,0.173890,0.427890,0.372750,26,0.200000,0.800000
0.009140,0.000000,0.301000,0.689860,0.006670,0.004850,0.004970,0.983510,273,0.300000,0.100000
0.002630,0.000000,0.759390,0.237980,0.008890,0.005010,0.014410,0.971690,82,0.300000,0.200000
0.002590,0.000000,0.932920,0.064490,0.010180,0.006230,0.157300,0.826290,45,0.300000,0.400000
0.003970,0.000000,0.969740,0.026290,0.012440,0.034890,0.342960,0.609710,33,0.300000,0.600000
0.006390,0.000000,0.978330,0.015280,0.019680,0.126680,0.424210,0.429430,27,0.300000,0.800000
0.014900,0.000000,0.003950,0.981150,0.005410,0.004790,0.005090,0.984710,91,0.400000,0.100000
0.002600,0.000000,0.696010,0.301390,0.009030,0.004800,0.006750,0.979420,99,0.400000,0.200000
0.001860,0.000000,0.912070,0.086070,0.010180,0.004940,0.094760,0.890120,50,0.400000,0.400000
0.002570,0.000000,0.961710,0.035720,0.010760,0.008970,0.217020,0.763250,38,0.400000,0.600000
0.005290,0.000000,0.975200,0.019510,0.014970,0.069360,0.395690,0.519980,29,0.400000,0.800000
0.014720,0.000000,0.011980,0.973300,0.005460,0.004540,0.005060,0.984940,203,0.500000,0.100000
0.003200,0.000000,0.607560,0.389240,0.008200,0.004700,0.007160,0.979940,104,0.500000,0.200000
0.002020,0.000000,0.887420,0.110560,0.010130,0.004830,0.093460,0.891580,48,0.500000,0.400000
0.001400,0.000000,0.949150,0.049450,0.009980,0.005280,0.120080,0.864660,44,0.500000,0.600000
0.004060,0.000000,0.968040,0.027900,0.012220,0.031250,0.344510,0.612020,31,0.500000,0.800000
0.015170,0.000000,0.002140,0.982690,0.005250,0.004800,0.005260,0.984690,94,0.600000,0.100000
0.004400,0.000000,0.463330,0.532270,0.007850,0.004890,0.004900,0.982360,143,0.600000,0.200000
0.001630,0.000000,0.836810,0.161560,0.009420,0.004910,0.059080,0.926590,54,0.600000,0.400000
0.001660,0.000000,0.925970,0.072370,0.010060,0.005390,0.122280,0.862270,42,0.600000,0.600000
0.002840,0.000000,0.955290,0.041870,0.010360,0.010220,0.232560,0.746860,35,0.600000,0.800000
0.032520,0.000000,0.001700,0.965780,0.005580,0.004550,0.022600,0.967270,46,0.700000,0.100000
0.009180,0.000000,0.172320,0.818500,0.006260,0.004580,0.004890,0.984270,324,0.700000,0.200000
0.001590,0.000000,0.744730,0.253680,0.008960,0.004820,0.029410,0.956810,62,0.700000,0.400000
0.001490,0.000000,0.877900,0.120610,0.009340,0.004750,0.074780,0.911130,47,0.700000,0.600000
0.001750,0.000000,0.926830,0.071420,0.010030,0.004900,0.127150,0.857920,40,0.700000,0.800000
0.056290,0.000000,0.000610,0.943100,0.005150,0.004640,0.046590,0.943620,37,0.800000,0.100000
0.015190,0.000000,0.011050,0.973760,0.005320,0.004520,0.006190,0.983970,76,0.800000,0.200000
0.001830,0.000000,0.585210,0.412960,0.007620,0.004970,0.007310,0.980100,85,0.800000,0.400000
0.001340,0.000000,0.784770,0.213890,0.008940,0.004760,0.038310,0.947990,53,0.800000,0.600000
0.001570,0.000000,0.859210,0.139220,0.009150,0.005070,0.072560,0.913220,45,0.800000,0.800000
0.081770,0.000000,0.000570,0.917660,0.005740,0.005010,0.071130,0.918120,32,0.900000,0.100000
0.045340,0.000000,0.001910,0.952750,0.005050,0.005010,0.035580,0.954360,40,0.900000,0.200000
0.007820,0.000000,0.191090,0.801090,0.006230,0.004480,0.007310,0.981980,78,0.900000,0.400000
0.001860,0.000000,0.572320,0.425820,0.007260,0.004570,0.009140,0.979030,71,0.900000,0.600000
0.001800,0.000000,0.697280,0.300920,0.007570,0.004770,0.033370,0.954290,50,0.900000,0.800000
0.082260,0.000000,0.000620,0.917120,0.005310,0.004960,0.072090,0.917640,32,1.000000,0.100000
0.069230,0.000000,0.001760,0.929010,0.005460,0.005150,0.058890,0.930500,34,1.000000,0.200000
0.036320,0.000000,0.049370,0.914310,0.005320,0.005080,0.033510,0.956090,41,1.000000,0.400000
0.032190,0.000000,0.153480,0.814330,0.005360,0.004530,0.047960,0.942150,37,1.000000,0.600000
0.028940,0.000000,0.319220,0.651840,0.005420,0.005140,0.092860,0.896580,29,1.000000,0.800000
